User ID,Name,Rank,Elo,Tier,Avatar,ended_time,axie_1,axie_2,axie_3,vstar,axie_1_rune,axie_2_rune,axie_3_rune,axie_1_eyes_charm,axie_1_mouth_charm,axie_1_ears_charm,axie_1_horn_charm,axie_1_back_charm,axie_1_tail_charm,axie_2_eyes_charm,axie_2_mouth_charm,axie_2_ears_charm,axie_2_horn_charm,axie_2_back_charm,axie_2_tail_charm,axie_3_eyes_charm,axie_3_mouth_charm,axie_3_ears_charm,axie_3_horn_charm,axie_3_back_charm,axie_3_tail_charm,Axie 1 Eyes Part ID,Axie 1 Ears Part ID,Axie 1 Horn Part ID,Axie 1 Back Part ID,Axie 1 Mouth Part ID,Axie 1 Tail Part ID,Axie 1 Class,Axie 2 Eyes Part ID,Axie 2 Ears Part ID,Axie 2 Horn Part ID,Axie 2 Back Part ID,Axie 2 Mouth Part ID,Axie 2 Tail Part ID,Axie 2 Class,Axie 3 Eyes Part ID,Axie 3 Ears Part ID,Axie 3 Horn Part ID,Axie 3 Back Part ID,Axie 3 Mouth Part ID,Axie 3 Tail Part ID,Axie 3 Class,Comp
1ec9eb6f-8b8d-6c50-a60c-40216d5404e4,.,1,Tiger,3,0;0,2024-07-31 16:20:26,11616037,11941937,11924551,1310,rune_dusk_4012_s9_nondec,rune_neutral_4011_s9_nft,rune_beast_4011_s9_nft,,,ecard_plant_4010_s9_nft,ecard_bug_4011_s9_nondec,ecard_neutral_4013_s9_nondec,ecard_neutral_2017_s9_nft,ecard_neutral_4014_s9_nondec,,ecard_neutral_3015_s9,ecard_beast_4010_s9_nondec,ecard_neutral_3015_s9_nondec,,ecard_neutral_4014_s9_nondec,,,ecard_beast_4010_s9_nondec,ecard_bird_3011_s9_nft,ecard_beast_4010_s9_nondec,Nerdy,Zigzag,Lotus,Caterpillars,Sandal,Cottontail,Dusk,Chubby,Earwing,Cupid,Hungry Bird,Arco,Cottontail,Beast,Chubby,Earwing,Cupid,Axie Kiss,Arco,Gerbil,Beast,Bleed
1ec9eb7e-2b0f-6f80-a60c-b778c92608e7,TuanAn x Nadare AXP,2,Tiger,3,ice_cream;s9_lotus_petal,2024-07-31 12:16:51,11953087,11995578,11627178,1300,rune_mech_4012_s9_nft,rune_bird_4010_s9_nft,rune_dusk_4011_s9_nft,,ecard_neutral_2017_s9_nondec,ecard_bird_4012_s9_nondec,ecard_neutral_2012_s9_nondec,ecard_bird_4012_s9_nft,ecard_neutral_2017_s9_nondec,ecard_bird_3012_s9_nondec,,ecard_neutral_2010_s9_nondec,ecard_bird_2012_s9,ecard_bird_3012_s9_nondec,ecard_bird_3012_s9_nondec,,,ecard_neutral_3015_s9_nondec,ecard_neutral_4014_s9_nondec,ecard_bird_4012_s9_nft,ecard_neutral_3015_s9_nft,Nerdy,Pink Cheek,Tri Feather,Confident,Wing Horn,Cloud,Mech,Lucas,Pink Cheek,Tri Feather,Hungry Bird,Wing Horn,Cloud,Bird,Kotaro?,Earwing,Tri Feather,Peace Maker,Wing Horn,Granma's Fan,Dusk,Feather
1ec9eb6f-4233-6c27-a60c-49dd8dfaff4f,Swaroff is still here,3,Tiger,3,turtle_buoy_2023;s9_lotus_petal,2024-07-31 15:21:43,11987618,12036480,11705665,1280,rune_mech_4012_s9_nft,rune_bird_4010_s9_nft,rune_dusk_4011_s9,ecard_neutral_2010_s9_nondec,ecard_neutral_3015_s9_nondec,ecard_neutral_3015_s9_nondec,,ecard_bird_4012_s9_nft,ecard_neutral_3015_s9_nondec,ecard_bird_3012_s9,ecard_reptile_2011_s9_nondec,,ecard_neutral_4014_s9_nondec,,ecard_bird_3012_s9_nondec,,,ecard_neutral_3015_s9_nondec,ecard_neutral_4014_s9_nondec,ecard_bird_4012_s9_nft,ecard_neutral_3015_s9_nondec,Kotaro?,Earwing,Tri Feather,Confident,Wing Horn,Cloud,Mech,Lucas,Kotaro,Pink Cheek,Wing Horn,Tri Feather,Cloud,Bird,Kotaro?,Earwing,Tri Feather,Kotaro,Wing Horn,Granma's Fan,Dusk,Feather
1ec9eb77-3d6f-6874-a60c-11525b73ee32,+ 88 | MK,4,Tiger,4,filipino_puffy;ena_postseason_6,2024-07-31 11:40:21,7237440,12034490,12023078,1240,rune_aquatic_4012_s9_nondec,rune_mech_4011_s9_nondec,rune_plant_4010_s9_nft,ecard_aquatic_4012_s9_nondec,ecard_aquatic_2012_s9,ecard_neutral_2010_s9_nondec,ecard_neutral_2015_s9_nondec,,ecard_neutral_4013_s9_nondec,ecard_aquatic_2013_s9_nft,ecard_neutral_1001,ecard_neutral_2015_s9_nondec,ecard_neutral_2010_s9_nondec,,ecard_aquatic_4011_s9_nondec,ecard_neutral_4013_s9_nft,,ecard_neutral_2015_s9_nft,ecard_neutral_2015_s9_nondec,,ecard_plant_3010_s9,Sleepless,Catfish,Bubblemaker,Cuckoo,Perch,Koi,Aquatic,Telescope,Piranha,Innocent Lamb,Cuckoo,Blue Moon,Koi,Mech,Chubby,Silence Whisper,Innocent Lamb,Cuckoo,Bidens,Cattail,Plant,Perch
1ec9eb6f-6146-6e3e-a60c-ec888d76e065,Nassauder,5,Tiger,4,s5_top1k;s9_lotus_petal,2024-07-31 08:08:10,12020902,11977291,11674054,1230,rune_bird_4012_s9_nft,rune_bird_4010_s9_nondec,rune_dusk_4011_s9_nft,,ecard_neutral_2017_s9_nondec,ecard_bird_4012_s9_nft,ecard_bird_2012_s9,ecard_bird_4012_s9_nondec,ecard_neutral_2017_s9_nondec,ecard_bird_3012_s9_nondec,ecard_plant_2011_s9_nft,,ecard_neutral_4014_s9_nondec,,ecard_bird_3012_s9_nft,,,ecard_bug_4011_s9_nondec,ecard_neutral_4014_s9_nft,ecard_bird_3013_s9_nft,ecard_neutral_2010_s9_nft,Robin,Confident,Pink Cheek,Wing Horn,Tri Feather,Cloud,Bird,Lucas,Pink Cheek,Tri Feather,Zigzag,Wing Horn,Cloud,Bird,Kotaro?,Earwing,Tri Feather,Square Teeth,Wing Horn,Granma's Fan,Dusk,Feather
1ec9eb6f-7bed-6581-a60c-44a45d423b61,doremiHong,6,Tiger,4,buba_joker;s9_goldenwood,2024-07-31 16:43:49,12013593,12003940,12015734,1220,rune_mech_4011_s9_nondec,rune_beast_3012_s9,rune_aquatic_4012_s9_nondec,ecard_beast_4012_s9_nondec,ecard_beast_4012_s9_nondec,ecard_neutral_2010_s9_nondec,ecard_beast_2011_s9_nondec,ecard_aquatic_3011_s9,ecard_neutral_2010_s9_nondec,ecard_beast_4012_s9,ecard_beast_4012_s9_nondec,ecard_beast_3013_s9_nondec,ecard_beast_2011_s9_nondec,ecard_aquatic_3011_s9_nondec,,ecard_beast_4012_s9_nondec,ecard_beast_4012_s9_nondec,ecard_beast_4012_s9,ecard_neutral_2010_s9_nondec,ecard_neutral_1001,,Puppy,Confident,Zen,Imp,Perch,Shiba,Mech,Puppy,Zen,Perch,Confident,Imp,Shiba,Beast,Puppy,Confident,Zen,Imp,Ronin,Shiba,Aquatic,Perch
1edea359-83ff-6804-8574-8bb664b95b41,Gia Hân,7,Tiger,4,coral_beach;s9_goldenwood,2024-07-31 15:04:37,11997398,11997833,11932291,1220,rune_dusk_4012_s9_nondec,rune_plant_4011_s9_nft,rune_bird_4012_s9_nondec,ecard_neutral_3016_s9_nondec,,ecard_neutral_2015_s9_nft,ecard_neutral_4013_s9_nondec,ecard_plant_4012_s9_nft,,ecard_plant_3011_s9_nondec,ecard_plant_3011_s9_nondec,ecard_neutral_2015_s9_nondec,ecard_plant_3011_s9_nondec,ecard_plant_4012_s9_nft,ecard_neutral_1005,ecard_neutral_3016_s9_nondec,ecard_bug_2012_s9_nft,ecard_neutral_1001,ecard_neutral_2018_s9,ecard_neutral_3015_s9_nondec,ecard_aquatic_3012_s9_nondec,Mavis,Innocent Lamb,Bidens,Silence Whisper,Strawberry Shortcake,Nimo,Dusk,Cucumber Slice,Innocent Lamb,Bidens,Silence Whisper,Strawberry Shortcake,Cottontail,Plant,Mavis,Innocent Lamb,Garish Worm,Cute Bunny,Oranda,Nimo,Bird,Healing
1ec9eb6f-72ea-6185-a60c-c9c6d5b606e7,MagicMikeyyyy,8,Tiger,4,sunglasses_2023;s9_lotus_petal,2024-07-31 16:41:34,11982497,12009914,11672624,1210,rune_mech_4012_s9_nondec,rune_bird_4010_s9_nft,rune_dusk_4011_s9_nft,,ecard_plant_0001,ecard_neutral_3010_s9_nondec,ecard_bird_2012_s9,ecard_bird_4012_s9_nondec,ecard_neutral_2017_s9,ecard_bird_3012_s9_nft,ecard_bird_2011_s9_nondec,,ecard_bird_3011_s9_nondec,ecard_bird_3012_s9_nondec,ecard_bird_3012_s9,ecard_bird_4012_s9_nondec,,ecard_neutral_3015_s9_nondec,ecard_neutral_4014_s9_nondec,,ecard_neutral_3015_s9_nondec,Nerdy,Beetle Spike,Tri Feather,Confident,Wing Horn,Cloud,Mech,Lucas,Hungry Bird,Pink Cheek,Wing Horn,Cupid,Cloud,Bird,Lucas,Kotaro,Earwing,Wing Horn,Tri Feather,Granma's Fan,Dusk,Feather
1ec9eb73-6c56-640a-a60c-aa8dc51eb70f,Robokop | Guildless Gamers,9,Tiger,4,patrick23_hat;patrick23,2024-07-31 15:58:48,12016091,12025105,12005894,1200,rune_reptile_4011_s9_nondec,rune_dusk_4011_s9_nft,rune_neutral_4011_s9_nondec,ecard_reptile_2013_s9_nondec,ecard_neutral_3015_s9_nondec,ecard_neutral_3015_s9_nft,ecard_neutral_2018_s9,ecard_neutral_3015_s9_nondec,,ecard_reptile_3010_s9,ecard_neutral_3015_s9_nondec,ecard_neutral_2015_s9_nft,ecard_plant_3011_s9_nondec,ecard_neutral_3015_s9_nft,,ecard_reptile_3010_s9_nft,ecard_neutral_3015_s9_nondec,ecard_reptile_machito_1,ecard_plant_3011_s9_nft,ecard_neutral_3015_s9_nondec,,Gecko,Silence Whisper,Rosa,Watermelon,Green Thorns,Grass Snake,Reptile,Gecko,Silence Whisper,Rosa,Strawberry Shortcake,Green Thorns,Grass Snake,Dusk,Gecko,Silence Whisper,Friezard,Strawberry Shortcake,Green Thorns,Cottontail,Reptile,Poison
1ec9eb7e-41b2-6eed-a60c-2863dfd1ee0a,B&F,10,Tiger,4,bard_1300_s9;s9_serpentwood,2024-07-31 16:22:48,11992793,12009005,12021055,1200,rune_plant_4010_s9_nft,rune_beast_4011_s9_nft,rune_dusk_4012_s9_nft,ecard_neutral_4014_s9_nondec,ecard_plant_3011_s9_nondec,,ecard_neutral_4013_s9_nondec,ecard_plant_4010_s9_nondec,,ecard_neutral_4014_s9_nondec,,,ecard_beast_4010_s9_nondec,ecard_bird_3011_s9,ecard_beast_4010_s9_nondec,ecard_neutral_4014_s9_nondec,,,ecard_beast_4010_s9_nondec,ecard_bird_3011_s9,ecard_beast_4010_s9_nondec,Chubby,Innocent Lamb,Bidens,Silence Whisper,Strawberry Shortcake,Cottontail,Plant,Chubby,Catfish,Earwing,Arco,Cupid,Gerbil,Beast,Chubby,Axie Kiss,Pink Cheek,Arco,Cupid,Gerbil,Dusk,Bleed
